    + --- ---------------- --------- +
    |                greedy recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 2.276e-05 |
  2 |   2                3 4.793e-06 |
  3 |   3                5 4.200e-06 |
  4 |   3                8 4.574e-06 |
  5 |   4               13 4.792e-06 |
  6 |   4               22 5.542e-06 |
  7 |   5               36 5.982e-06 |
  8 |   5               60 7.275e-06 |
  9 |   5              100 8.954e-06 |
 10 |   6              167 3.762e-05 |
 11 |   6              279 6.523e-06 |
 12 |   6              465 7.507e-06 |
 13 |   7              777 1.091e-05 |
 14 |   7             1297 1.638e-05 |
 15 |   7             2165 2.653e-05 |
 16 |   7             3614 4.197e-05 |
 17 |   8             6031 6.789e-05 |
 18 |   8            10065 1.113e-04 |
 19 |   8            16795 1.925e-04 |
 20 |   8            28024 3.051e-04 |
 21 |   9            46758 5.094e-04 |
 22 |   9            77974 8.435e-04 |
 23 |   9           129267 1.398e-03 |
 24 |   9           214833 2.315e-03 |
 25 |   9           357571 3.844e-03 |
 26 |  10           594903 6.392e-03 |
 27 |  10           990813 1.061e-02 |
 28 |  10          1650480 1.766e-02 |
 29 |  11          2749358 2.942e-02 |
 30 |  11          4580915 4.901e-02 |
 31 |  11          7632369 8.248e-02 |
 32 |  12         12717259 1.431e-01 |
 33 |  12         21190372 2.317e-01 |
 34 |  12         35308605 3.986e-01 |
 35 |  13         58834509 6.512e-01 |
 36 |  13         98035312 1.061e+00 |
 37 |  13        163355685 1.746e+00 |
 38 |  14        272199642 2.957e+00 |
 39 |  14        453565758 4.997e+00 |
 40 |  14        755777168 8.067e+00 |
 41 |  15       1265839443 1.353e+01 |
 42 |  15       2115757265 2.266e+01 |
 43 |  15       3531977000 3.789e+01 |
 44 |  16       5898312952 4.233e+01 |
 45 |  16       9847831183 6.596e+01 |
 46 |  16      16435407033 1.116e+02 |
 47 |  16      27425271110 1.901e+02 |
 48 |  17      43644715829 3.087e+02 |
 49 |  17      70697156059 5.125e+02 |
 50 |  17     113969041008 8.212e+02 |
